Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Continent
General government gross debt,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,0.506,0.381,0.249,0.26,0.254,0.411,0.478,0.596,0.762,0.874,1.041,1.14,1.248,1.531,1.813,2.062,2.293,2.543,2.805,Europe
General government gross debt,,,,,,,,,,,,,,,,,,,,,,,,,,,16.669,14.635,9.813,6.119,5.908,5.27,8.117,8.973,10.703,13.116,14.394,16.232,16.953,17.529,23.379,25.853,27.998,29.613,31.152,32.567,Europe
Current account balance,,,,,,,,,,,,,,,,,,,,,-0.081,-0.186,-0.214,-0.294,-0.259,-0.307,-0.284,-0.293,-0.678,-0.521,-0.685,-0.851,-0.377,-0.238,-0.511,-0.552,-0.533,-0.394,-0.601,-0.439,-0.449,-0.473,-0.453,-0.463,-0.462,-0.453,Europe
Current account balance,,,,,,,,,,,,,,,,,,,,,-3.874,-7.425,-7.942,-8.775,-7.139,-8.214,-7.245,-6.181,-11.871,-9.183,-11.724,-12.699,-5.794,-3.361,-6.908,-8.562,-7.931,-5.435,-7.565,-5.503,-6.003,-5.484,-4.956,-4.789,-4.531,-4.2,Europe
GDP,33634.667,28558.155,26249.423,27445.435,29289.812,27227.94,28479.888,29899.496,26451.001,32958.467,24868.499,23753.655,42536.929,56457.219,50652.129,49090.222,47159.959,46524.67,47436.048,47591.453,51806.047,50941.465,50866.511,57766.469,60767.685,63496.523,66100.233,67358.317,69508.439,64277.472,61763.079,66969.827,72735.933,70727.47,64038.479,43308.023,40844.217,46479.257,46273.874,46017.841,41734.723,41768.776,42694.569,43313.205,43988.103,44697.438,Asia
Implied PPP conversion rate,0.168,0.172,0.158,0.142,0.137,0.139,0.101,0.11,0.109,0.103,0.101,0.097,0.096,0.087,0.08,0.084,0.096,0.09,0.073,0.085,0.101,0.091,0.094,0.097,0.105,0.124,0.14,0.142,0.166,0.136,0.15,0.172,0.176,0.179,0.179,0.19,0.187,0.177,0.199,0.187,0.161,0.167,0.168,0.169,0.17,0.171,Asia
Total investment,13.885,16.508,22.948,24.786,21.024,18.855,22.11,17.545,15.696,12.299,15.872,39.293,19.867,17.187,19.869,14.759,15.106,13.637,18.448,14.555,10.67,14.31,17.129,16.644,18.186,16.425,16.158,20.456,17.63,17.966,17.659,13.548,12.835,14.351,16.29,25.428,29.959,27.731,25.206,22.085,25.114,24.189,23.681,23.236,22.831,22.362,Asia
Gross national savings,70.286,72.311,47.491,51.568,53.301,43.812,56.227,52.767,50.532,50.929,2.789,-236.428,-3.49,31.197,35.479,37.72,39.922,42.617,26.987,31.362,49.57,38.149,28.281,36.267,47.3,56.795,64.717,57.247,58.501,42.273,50.831,57.143,58.697,55.911,50.208,37.116,33.239,40.212,45.016,31.53,18.282,21.436,24.863,25.014,24.464,23.796,Asia
"Inflation, average consumer prices",55.089,59.151,63.751,66.759,67.545,68.552,69.206,69.659,70.682,73.044,84.583,91.461,91.166,91.716,93.893,96.272,99.197,100,100.6,103.702,105.328,106.854,107.705,108.767,110.134,114.672,118.218,124.678,132.533,138.642,144.876,151.983,156.845,161.084,166.121,172.231,178.228,180.913,181.96,183.962,185.802,190.075,194.827,199.698,204.69,209.807,Asia
"Inflation, average consumer prices",6.928,7.375,7.777,4.718,1.177,1.49,0.954,0.655,1.468,3.342,15.798,8.132,-0.323,0.603,2.374,2.533,3.038,0.809,0.6,3.083,1.569,1.448,0.797,0.986,1.257,4.12,3.092,5.465,6.3,4.61,4.496,4.905,3.199,2.703,3.127,3.678,3.482,1.507,0.579,1.1,1,2.3,2.5,2.5,2.5,2.5,Asia
"Inflation, end of period consumer prices",59.407,63.579,68.957,70.314,71.369,72.023,72.374,72.877,74.586,77.049,78.864,91.196,90.393,92.852,95.613,97.62,99.979,100.632,101.836,105.651,106.102,109.164,108.144,109.089,111.924,116.91,121.163,130.297,142.057,144.997,153.711,158.436,165.356,169.749,174.916,180.213,184.923,186.853,187.68,190.491,193.157,197.986,202.936,208.009,213.21,218.54,Asia
"Inflation, end of period consumer prices",8.64,7.022,8.458,1.968,1.501,0.915,0.488,0.694,2.345,3.302,2.356,15.637,-0.881,2.721,2.973,2.1,2.416,0.653,1.197,3.746,0.428,2.886,-0.935,0.874,2.599,4.455,3.638,7.539,9.025,2.069,6.01,3.074,4.368,2.656,3.044,3.028,2.613,1.044,0.442,1.498,1.4,2.5,2.5,2.5,2.5,2.5,Asia
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Volume of imports of goods and services,29.048,-7.054,7.72,3.894,-1.474,-3.598,-17.687,-9.179,5.027,13.829,6.6,125.095,-18.85,-1.446,-2.957,3.83,2.567,-0.126,13.443,-9.07,-12.456,6.981,6.978,13.016,14.977,12.226,4.712,24.744,3.793,-12.492,6.33,5.168,13.964,-0.085,7.952,6.837,4.203,9.214,-0.853,-0.489,-11.271,4.059,5.907,2.36,2.304,2.306,Asia
Volume of Imports of goods,24.982,1.715,7.13,-8.379,-2.867,-9.382,-18.335,-9.254,10.214,2.931,6.6,125.095,-18.85,-1.446,-2.957,3.83,2.567,-0.126,13.443,-9.07,-12.456,6.981,6.978,13.016,14.977,12.226,4.712,24.744,3.793,-12.492,6.33,5.168,13.964,-0.085,7.952,6.837,4.203,9.214,-0.853,-0.489,-11.271,4.059,5.907,2.36,2.304,2.306,Asia
Volume of exports of goods and services,-30.889,-26.392,-28.848,18.463,9.826,-8.841,12.303,5.33,-16.727,55.04,-45.4,-83.568,466.93,96.191,0.256,-1.134,-0.494,0.402,2.592,-14.316,-28.766,-0.667,-11.955,31.408,8.129,8.787,7.746,-0.254,2.21,-6.344,-0.497,14.262,7.687,-3.993,1.405,-0.867,2.46,-4.77,-4.796,-1.999,-10.554,-1.93,2.997,1.252,1.248,1.244,Asia
Volume of exports of goods,-29.397,-28.748,-28.857,19.745,10.663,-13.094,9.998,-16.221,-6.001,66.119,-44.8,-94.781,1684.788,96.191,0.256,-1.134,0.406,-0.114,0.535,-10.22,6.228,-0.894,-13.412,29.225,6.416,17.181,-4.609,-0.317,4.191,-7.519,0,17.29,12.453,-2.526,-1.751,0.085,1.081,-4.816,0.95,-1.999,-10.554,-1.93,2.997,1.252,1.248,1.244,Asia
Unemployment rate,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.842,7.183,1.5,1.8,0.699,0.711,0.791,0.777,1.097,1.305,1.221,1.42,1.349,1.37,1.701,1.671,1.639,2.072,2.078,1.986,1.902,1.722,1.322,1.248,1.28,1.087,,,,,,,,Asia
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Population,1.37,1.432,1.497,1.566,1.6,1.7,1.8,1.9,2,2.1,2.13,1.36,1.42,1.48,1.83,1.96,2.09,2.209,2.271,2.255,2.217,2.309,2.42,2.547,2.754,2.991,3.183,3.4,3.442,3.485,3.582,3.697,3.807,3.892,4.039,4.183,4.329,4.438,4.622,4.75,4.883,5.019,5.159,5.303,5.451,5.603,Asia
General government revenue,,,,,,,,,,,3.214,1.655,2.403,3.3,3.645,4.279,5.292,5.602,4.656,5.509,7.888,7.661,7.093,7.749,9.882,16.853,18.804,21.989,23.994,21.256,23.388,30.753,34.711,35.691,30.847,20.684,17.87,21.106,24.816,23.758,18.469,17.928,19.604,20.793,21.637,22.442,Asia
General government revenue,,,,,,,,,,,60.328,52.861,41.242,45.633,49.392,52.734,56.123,60.844,58.891,60.074,68.168,71.623,61.201,54.348,56.414,71.423,63.809,67.491,60.56,69.7,70.703,72.34,71.242,72.26,66.645,59.999,54.06,57.651,58.425,58.125,56.301,51.136,52.945,53.559,53.232,52.516,Asia
General government total expenditure,,,,,,,,,,,4.918,6.392,5.292,4.438,4.319,4.429,4.198,4.021,4.112,4.119,4.23,4.594,4.852,5.281,5.991,6.635,9.405,9.8,16.005,12.866,14.8,16.604,18.911,18.841,20.496,18.755,17.77,18.812,20.974,21.558,21.254,21.677,22.256,22.803,23.338,23.881,Asia
General government total expenditure,,,,,,,,,,,92.311,204.17,90.821,61.38,58.53,54.59,44.517,43.678,52.012,44.92,36.554,42.952,41.866,37.039,34.202,28.119,31.914,30.08,40.396,42.187,44.741,39.058,38.815,38.146,44.281,54.406,53.758,51.385,49.38,52.744,64.793,61.828,60.108,58.735,57.418,55.883,Asia
General government net lending/borrowing,,,,,,,,,,,-1.704,-4.737,-2.889,-1.139,-0.674,-0.151,1.094,1.58,0.544,1.39,3.658,3.067,2.241,2.468,3.891,10.218,9.399,12.189,7.989,8.39,8.588,14.148,15.799,16.85,10.351,1.928,0.1,2.294,3.842,2.199,-2.786,-3.749,-2.652,-2.01,-1.701,-1.439,Asia
General government net lending/borrowing,,,,,,,,,,,-31.983,-151.309,-49.578,-15.747,-9.138,-1.857,11.607,17.166,6.879,15.154,31.614,28.671,19.335,17.308,22.212,43.304,31.895,37.411,20.164,27.513,25.962,33.281,32.428,34.114,22.364,5.593,0.302,6.266,9.045,5.381,-8.492,-10.692,-7.164,-5.177,-4.186,-3.366,Asia
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government primary net lending/borrowing,,,,,,,,,,,-3.09,-5.848,-3.517,-1.453,-1.002,-0.764,0.029,0.165,-0.823,-0.043,1.819,1.518,1.175,1.439,2.407,5.856,5.653,8.327,4.4,5.518,5.584,11.272,12.39,12.726,5.867,-2.584,-4.702,-3.424,-1.287,-3.188,-7.351,-8.023,-7.625,-7.431,-7.261,-7.099,Asia
General government primary net lending/borrowing,,,,,,,,,,,-58,-186.794,-60.357,-20.088,-13.576,-9.412,0.312,1.796,-10.406,-0.472,15.72,14.192,10.137,10.092,13.741,24.821,19.182,25.557,11.106,18.094,16.879,26.516,25.429,25.765,12.676,-7.497,-14.224,-9.353,-3.031,-7.8,-22.408,-22.884,-20.594,-19.14,-17.864,-16.611,Asia
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government gross debt,,,,,,,,,,,,4.732,6.858,6.428,6.528,6.327,5.561,4.802,4.359,4.269,4.04,3.757,3.471,3.279,3.031,2.785,2.433,2.296,2.13,2.029,2.038,1.973,1.755,1.527,1.587,1.604,3.312,7.5,6.303,4.811,6.316,12.821,18.269,25.322,31.875,38.428,Asia
General government gross debt,,,,,,,,,,,,151.138,117.702,88.906,88.458,77.977,58.976,52.16,55.139,46.554,34.915,35.12,29.951,22.998,17.302,11.805,8.257,7.047,5.376,6.653,6.161,4.641,3.602,3.092,3.429,4.653,10.018,20.485,14.838,11.771,19.255,36.57,49.341,65.225,78.422,89.925,Asia
Current account balance,15.302,13.778,4.873,5.654,7.004,4.961,5.67,4.395,5.093,9.621,3.72,-26.22,-0.451,2.502,3.219,5.016,7.107,7.873,2.215,5.064,14.67,8.327,4.265,9.423,15.596,30.069,45.311,42.188,60.245,28.289,36.714,66.14,79.133,70.206,54.413,4.016,-5.056,9.607,20.398,12.788,-7.423,-3.197,1.45,2.286,2.198,2.03,Asia
Current account balance,53.272,54.567,22.578,27.829,32.641,23.033,32.631,21.111,26.416,40.332,20.336,-242.188,-2.27,10.426,12.98,18.448,22.567,25.942,8.536,16.811,38.892,23.868,11.183,19.695,26.238,37.211,44.616,36.789,40.871,26.689,31.814,42.942,45.462,40.307,33.445,3.504,-4.623,7.96,14.498,9.445,-6.831,-2.753,1.182,1.778,1.633,1.434,Asia
GDP,,,,,,,,,,,,,2074.989,1817.116,1481.791,1424.531,1529.412,1686.183,1715.243,1775.752,1887.347,2011.847,2024.365,2187.034,2375.283,2415.085,2539.138,2798.607,3044.745,3121.658,3102.508,3319.628,3654.196,4083.205,4325.505,4259.042,4727.851,5094.365,5296.615,5515.665,4824.284,5300.388,5700.665,6056.769,6293.136,6543.554,Asia
Implied PPP conversion rate,,,,,,,,,,,,,0.081,0.655,1.8,2.505,3.329,3.904,4.211,5.711,7.104,7.461,7.494,7.65,7.83,8.134,8.637,9.662,11.673,12.053,13.109,15.728,15.303,15.365,16.036,17.146,16.737,16.959,17.181,16.744,17.839,18.422,19.064,19.652,20.238,20.833,Asia
Total investment,,,,,,,,,,,,,18.209,11.469,8.664,18.044,24.973,21.454,15.164,17.758,19.765,17.778,17.388,11.63,14.291,16.213,23.796,26.249,28.548,26.884,27.054,25.165,34.623,33.542,36.405,34.285,31.61,30.735,27.737,27.675,31.731,29.969,28.894,26.558,26.021,25.778,Asia
Gross national savings,,,,,,,,,,,,,5.455,-27.901,-2.22,2.089,1.734,13.63,-7.11,2.75,15.447,16.237,20.213,21.759,20.371,20.011,21.324,21.172,14.78,22.569,20.439,17.431,19.172,19.689,19.405,18.433,19.985,24.537,15.685,22.051,18.334,17.131,18.121,17.625,17.695,18.019,Asia
"Inflation, average consumer prices",,,,,,,,,,,,,0.354,4.195,11.775,16.741,22.089,27.265,30.117,40.929,48.987,52.377,53.494,55.086,57.35,59.838,63.161,69.622,86.693,92.62,100,116.636,119.865,127.793,137.421,146.358,146.927,151.593,153.931,155.68,168.199,177.53,186.991,196.251,205.968,216.167,Asia
"Inflation, average consumer prices",,,,,,,,,,,,,,1086.19,180.683,42.174,31.947,23.435,10.457,35.901,19.688,6.92,2.134,2.975,4.111,4.339,5.552,10.23,24.52,6.837,7.968,16.636,2.768,6.614,7.534,6.503,0.389,3.175,1.543,1.136,8.041,5.548,5.329,4.952,4.952,4.952,Asia
"Inflation, end of period consumer prices",,,,,,,,,,,,,0.844,8.696,14.099,18.463,24.891,28.122,32.859,45.949,50.765,52.635,53.838,56.834,58.405,61.279,64.403,77.344,92.835,92.798,110.639,116.954,125.72,130.711,144.403,149.244,148.494,153.922,154.671,159.398,171.71,183.754,192.853,202.402,212.425,222.943,Asia
"Inflation, end of period consumer prices",,,,,,,,,,,,,,929.867,62.124,30.959,34.814,12.979,16.845,39.837,10.48,3.685,2.285,5.565,2.764,4.921,5.098,20.094,20.028,-0.04,19.226,5.708,7.495,3.97,10.475,3.352,-0.503,3.656,0.486,3.056,7.724,7.014,4.952,4.952,4.952,4.952,Asia
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Volume of imports of goods and services,,,,,,,,,,,,,,-17.625,-22.109,-18.511,6.895,-20.187,1.55,-4.918,0.469,-9.93,19.216,13.098,23.945,12.802,44.609,35.721,24.038,-22.011,-13.785,6.002,24.876,13.119,7.558,-14.544,3.486,0.905,7.932,-3.203,-11.41,11.862,6.988,6.653,4.456,4.892,Asia
Volume of Imports of goods,,,,,,,,,,,,,,23.952,-5.867,33.105,35.175,-20.2,0,--,-0.572,-8.071,21.445,15.223,21.344,10.516,44.927,36.873,23.48,-23.971,-12.025,6.541,21.312,22.48,6.473,-17.085,2.406,7.214,11.787,-4.935,-15.5,12.461,6.832,6.738,4.567,5.112,Asia
Volume of exports of goods and services,,,,,,,,,,,,,,-27.123,-18.97,-17.364,6.701,21.056,-8.735,-10.412,10.522,-3.239,7.316,21.156,19.97,-3.907,20.934,31.318,17.652,-7.956,-11.447,12.835,22.963,12.546,-22.633,-6.98,-1.681,1.245,-1.092,16.853,-38.965,20.338,16.881,14.392,7.946,8.413,Asia
Volume of exports of goods,,,,,,,,,,,,,,25.013,-4.604,16.257,22.008,21.1,0.015,-0.049,12.435,-7.065,-2.535,25.822,18.029,-8.984,17.232,17.205,18.824,-1.383,-5.537,8.668,25.197,14.424,-25.362,-15.247,-3.565,5.963,1.663,6.272,-17.271,-1.091,8.602,4.659,5.343,5.801,Asia
Unemployment rate,,,,,,,,,,,,,,,4.114,5.742,7.815,5.747,5.874,7.196,7.544,7.839,12.55,9.903,8.53,8.117,8.267,8.153,8.219,8.417,8.644,8.53,8.427,8.332,8.046,7.554,7.211,6.891,6.605,6.605,6.605,6.605,6.605,6.605,6.605,6.605,Asia
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Population,,,,,,,,,,,,,4.411,4.485,4.505,4.525,4.596,4.661,4.732,4.806,4.875,4.922,4.968,5.013,5.073,5.136,5.189,5.248,5.289,5.348,5.418,5.478,5.552,5.663,5.777,5.895,6.019,6.14,6.257,6.389,6.517,6.654,6.795,6.931,7.077,7.227,Asia
General government revenue,,,,,,,,,,,,,,1.318,2.503,3.933,4.567,6.702,8.191,10.895,12.757,15.767,17.673,19.213,22.234,25.504,30.765,43.807,56.037,66.24,68.667,93.412,107.801,122.391,142.005,153.112,157.822,176.581,184.877,200.88,178.141,204.371,234.636,264.782,294.777,327.286,Asia
General government revenue,,,,,,,,,,,,,,24.61,20.754,24.359,19.517,21.85,23.972,22.359,19.518,21.341,23.45,22.908,23.565,25.277,27.034,30.872,29.808,32.919,31.16,32.663,34.722,34.448,35.44,35.567,33.133,33.287,32.47,34.045,31.763,31.454,31.774,32.095,32.702,33.222,Asia
General government total expenditure,,,,,,,,,,,,,,,,6.115,6.695,9.557,12.281,17.487,19.748,20.753,22.12,23.549,26.849,29.327,33.149,41.995,52.42,65.481,81.772,106.867,126.001,135.535,154.299,163.946,185.403,196.383,188.237,201.701,218.982,239.816,256.787,289.529,321.814,356.836,Asia
General government total expenditure,,,,,,,,,,,,,,,,37.876,28.613,31.158,35.941,35.887,30.215,28.088,29.35,28.077,28.457,29.066,29.13,29.595,27.884,32.541,37.107,37.367,40.584,38.147,38.508,38.084,38.923,37.02,33.06,34.184,39.045,36.909,34.773,35.094,35.702,36.221,Asia
General government net lending/borrowing,,,,,,,,,,,,,,,,-2.182,-2.128,-2.855,-4.09,-6.592,-6.991,-4.985,-4.447,-4.336,-4.615,-3.823,-2.385,1.812,3.617,0.76,-13.105,-13.455,-18.2,-13.144,-12.294,-10.835,-27.581,-19.802,-3.36,-0.821,-40.841,-35.445,-22.151,-24.747,-27.038,-29.55,Asia
General government net lending/borrowing,,,,,,,,,,,,,,,,-13.517,-9.095,-9.308,-11.969,-13.528,-10.697,-6.747,-5.9,-5.169,-4.892,-3.789,-2.095,1.277,1.924,0.378,-5.947,-4.705,-5.862,-3.699,-3.068,-2.517,-5.79,-3.733,-0.59,-0.139,-7.282,-5.455,-3,-3,-3,-3,Asia
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.421,-10.976,-29.408,-27.948,-12.64,-4.97,-23.107,-29.126,-22.755,-28.705,-29.342,-31.322,Asia
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.402,-2.519,-6.196,-5.467,-2.32,-0.86,-3.747,-4.348,-3.089,-3.532,-3.281,-3.197,Asia
General government primary net lending/borrowing,,,,,,,,,,,,,,,,-2.114,-1.844,-2.335,-3.375,-5.156,-5.569,-3.758,-3.233,-3.067,-3.339,-2.259,-1.382,2.728,5.025,2.371,-11.294,-10.699,-15.271,-10.152,-9.254,-7.307,-23.281,-15.192,2.466,4.638,-33.258,-27.651,-13.804,-15.175,-16.598,-17.98,Asia
General government primary net lending/borrowing,,,,,,,,,,,,,,,,-13.096,-7.881,-7.614,-9.876,-10.581,-8.521,-5.086,-4.29,-3.656,-3.539,-2.239,-1.215,1.923,2.673,1.178,-5.125,-3.741,-4.919,-2.857,-2.309,-1.697,-4.888,-2.864,0.433,0.786,-5.93,-4.256,-1.869,-1.839,-1.841,-1.825,Asia
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government gross debt,,,,,,,,,,,,,,,,,,,,,80.588,79.947,81.352,90.774,87.431,86.431,83.478,81.937,92.138,117.704,131.557,143.154,156.719,167.432,214.759,288.804,281.382,311.846,312.126,319.475,381.835,433.94,473.023,505.255,537.986,577.674,Asia
General government gross debt,,,,,,,,,,,,,,,,,,,,,123.303,108.207,107.941,108.23,92.666,85.661,73.355,57.744,49.012,58.494,59.699,50.056,50.478,47.125,53.597,67.087,59.073,58.786,54.818,54.144,68.082,66.785,64.055,61.243,59.684,58.638,Asia
Current account balance,,,,,,,,,,,,,-0.053,-0.086,-0.084,-0.235,-0.425,-0.138,-0.364,-0.184,-0.059,-0.024,0.045,0.194,0.135,0.093,-0.07,-0.193,-0.708,-0.202,-0.317,-0.479,-1.02,-1.016,-1.269,-1.059,-0.792,-0.477,-0.997,-0.476,-1.002,-1.085,-0.995,-0.895,-0.885,-0.875,Asia
Current account balance,,,,,,,,,,,,,-5.747,-13.012,-7.617,-15.722,-23.308,-7.833,-22.33,-14.808,-4.316,-1.546,2.825,10.129,6.08,3.798,-2.472,-5.077,-13.768,-4.314,-6.615,-7.734,-15.451,-13.853,-17,-15.852,-11.625,-6.197,-12.052,-5.625,-13.397,-12.837,-10.773,-8.932,-8.326,-7.758,Asia
GDP,541.172,670.359,728.557,760.214,816.203,894.187,930.03,917.755,904.2,1003.828,1070.581,1118.011,1188.74,1252.641,1347.299,1436.085,1527.087,1624.83,1682.03,1744.281,1866.415,1966.643,2101.277,2238.566,2426.807,2634.43,2909.422,3168.561,3424.299,3643.343,3917.279,4251.549,4841.643,5289.476,5873.755,6168.456,6843.568,7255.165,7776.699,8206.501,8220.886,8678.278,9199.121,9772.09,10388.684,11076.036,Asia
Implied PPP conversion rate,11.4,10.329,16.269,27.808,36.105,51.853,71.578,91.571,131.754,209.627,272.025,298.143,318.578,331.109,349.21,409.215,457.28,536.133,508.409,1086.303,1422.29,1567.077,1706.165,1894.554,2041.996,2143.779,2334.347,2423.306,2509.003,2445.793,2532.576,2666.535,2615.523,2712.93,2738.371,2819.729,2759.426,2789.109,2775.442,2782.486,2958.344,3067.879,3109.219,3144.057,3175.906,3206.664,Asia
Total investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Gross national savings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
"Inflation, average consumer prices",0.172,0.231,0.393,0.638,0.812,1.743,2.353,2.496,2.866,4.577,3.372,3.826,4.202,4.44,4.78,5.692,6.782,8.107,15.416,35.211,38.157,41.137,45.511,52.56,58.062,62.224,66.297,69.452,74.75,74.775,79.25,85.258,88.888,94.551,98.455,99.713,101.471,102.141,104.224,107.688,114.687,120.307,124.277,128.13,132.102,136.197,Asia
"Inflation, average consumer prices",188.816,33.7,70.381,62.511,27.175,114.698,35.002,6.112,14.8,59.7,-26.317,13.439,9.847,5.65,7.67,19.075,19.147,19.544,90.141,128.409,8.369,7.809,10.633,15.489,10.467,7.167,6.546,4.759,7.628,0.034,5.984,7.581,4.259,6.371,4.129,1.278,1.763,0.66,2.039,3.324,6.5,4.9,3.3,3.1,3.1,3.1,Asia
"Inflation, end of period consumer prices",,,,,,,,1.389,1.594,2.804,3.622,3.997,4.237,4.674,4.94,6.361,7.172,7.798,18.862,35.207,38.925,41.854,48.211,54.297,59.001,64.181,67.099,70.949,73.196,76.065,80.458,86.654,90.755,96.789,99.111,100,102.487,102.639,104.16,110.709,117.684,121.803,125.579,129.472,133.485,137.623,Asia
"Inflation, end of period consumer prices",,,,,,,,,14.8,75.871,29.188,10.36,6.003,10.315,5.691,28.75,12.76,8.726,141.884,86.656,10.56,7.523,15.189,12.624,8.663,8.78,4.546,5.738,3.167,3.92,5.774,7.701,4.733,6.649,2.399,0.897,2.487,0.148,1.482,6.287,6.3,3.5,3.1,3.1,3.1,3.1,Asia
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Volume of imports of goods and services,-13.427,16.142,32.697,10.473,14.496,7.78,-12.803,6.048,3.579,25.336,-7.561,13,17.8,59.8,22.3,-1.5,15.2,-6.939,-4.031,-0.401,20.588,7.114,-2.158,2.397,31.436,16.36,18.39,16.411,22.439,9.356,13.412,16.694,29.806,15.26,15.349,-0.199,-16.962,6.571,-1.198,-3.883,-6.655,1.47,4.176,2.793,5.528,6.349,Asia
Volume of Imports of goods,14.774,20.143,33.229,12.79,11.1,7.51,-9.888,6.243,0.485,28.021,-6.15,3.4,23.5,62.7,30.6,4.4,17.114,-6.043,-14.7,0.268,23.2,6.894,-2.11,1.819,33.636,12.612,20.606,20.257,22.166,8.53,10.499,16.967,22.938,12.344,15.586,-0.197,-19.134,6.5,-0.529,-5.502,-8.746,1.806,3.786,3.648,5.43,6.633,Asia
Volume of exports of goods and services,-21.72,60.183,66.915,-7.413,8.079,43.743,-2.563,-6.25,13.806,17.294,26.489,22.1,38.2,64.6,12.7,3.7,0.361,-3.78,4.174,4.472,12.636,-13.731,-4.571,-9.289,5.978,11.734,14.416,7.56,13.66,4.884,16.731,21.667,6.685,10.552,22.155,-4.798,17.829,4.48,1.269,13.966,-17.228,-1.417,6.022,6.488,4.635,3.817,Asia
Volume of exports of goods,-38.309,122.65,72.791,8.355,-5.498,46.863,-8.151,-11.745,28.826,14.879,34.794,17.5,37.3,81.4,24.9,4.3,2.601,-1.416,6.4,1.504,7.193,-17.197,-10.829,-1.57,4.621,14.064,20.741,5.173,15.36,6.9,16.547,27.348,8.019,8.252,27.331,-6.595,23.839,4.983,1.318,13.561,-11.702,-4.135,4.578,6.396,4.652,3.842,Asia
Unemployment rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Population,3.209,3.27,3.345,3.431,3.525,3.622,3.724,3.83,3.94,4.053,4.206,4.33,4.457,4.584,4.708,4.827,4.941,5.05,5.145,5.235,5.324,5.41,5.493,5.577,5.662,5.752,5.846,5.945,6.047,6.149,6.249,6.348,6.445,6.541,6.64,6.741,6.846,6.953,7.062,7.163,7.266,7.371,7.477,7.585,7.694,7.805,Asia
General government revenue,,,,,,,,,,,,,,,,,,,,,2305.704,2527.875,2711.851,2874.517,3299.662,4155.148,5255.299,6383.989,7374.925,9318.38,12977.738,13500.236,18260.895,18969.665,23340.322,23698.789,20716.322,22615.492,24758.342,25131.675,20910.968,27044.828,31586.013,35891.147,39971.385,43752.063,Asia
General government revenue,,,,,,,,,,,,,,,,,,,,,16.315,15.163,13.77,12.154,11.76,12.792,13.236,13.985,14.196,17.008,20.933,18.76,22.376,20.209,21.855,20.212,16.024,16.074,16.244,15.365,11.833,13.781,14.769,15.402,15.746,15.783,Asia
General government total expenditure,,,,,,,,,,,,,,,,,,,,,2811.009,3141.89,3273.058,3793.444,3807.652,4980.636,5843.674,6896.654,8340.14,11014.451,13888.555,14528.621,20173.193,22753.161,26685.461,30230.129,27257.999,30339.052,31865.734,33335.802,32261.78,38288.814,42184.475,46238.093,49606.933,53947.633,Asia
